iter	Passed	Remaining
0	9	9551
1	11	5738
2	23	7876
3	95	23706
4	106	21201
5	117	19443
6	136	19300
7	167	20733
8	186	20504
9	228	22628
10	236	21282
11	267	22031
12	275	20950
13	278	19639
14	281	18504
15	288	17730
16	291	16841
17	293	16036
18	296	15315
19	299	14673
20	306	14287
21	309	13742
22	311	13239
23	314	12783
24	316	12355
25	324	12171
26	327	11797
27	329	11451
28	335	11240
29	340	11012
30	343	10739
31	346	10479
32	352	10324
33	355	10104
34	358	9885
35	360	9665
36	364	9482
37	371	9398
38	373	9204
39	376	9027
40	378	8864
41	385	8795
42	388	8638
43	390	8494
44	393	8352
45	396	8215
46	402	8164
47	404	8031
48	407	7911
49	410	7792
50	412	7679
51	416	7598
52	419	7490
53	422	7393
54	428	7364
55	432	7286
56	434	7191
57	437	7098
58	439	7012
59	444	6964
60	447	6884
61	449	6803
62	452	6729
63	459	6726
64	462	6657
65	465	6588
66	468	6525
67	475	6523
68	479	6464
69	482	6408
70	494	6465
71	496	6404
72	499	6340
73	507	6348
74	509	6288
75	512	6231
76	515	6174
77	517	6119
78	520	6063
79	522	6011
80	525	5960
81	527	5909
82	530	5863
83	538	5868
84	540	5821
85	543	5776
86	546	5734
87	549	5693
88	552	5651
89	554	5608
90	557	5566
91	559	5526
92	567	5534
93	570	5496
94	572	5458
95	576	5424
96	583	5433
97	586	5399
98	589	5361
99	592	5328
100	600	5346
101	603	5309
102	605	5275
103	612	5280
104	615	5243
105	617	5206
106	631	5273
107	634	5237
108	636	5201
109	639	5172
110	643	5157
111	646	5126
112	659	5173
113	661	5144
114	665	5122
115	674	5140
116	677	5110
117	684	5117
118	687	5088
119	689	5059
120	696	5057
121	698	5028
122	701	4999
123	704	4974
124	710	4976
125	713	4949
126	716	4925
127	723	4931
128	726	4905
129	729	4884
130	737	4892
131	771	5076
132	776	5061
133	795	5138
134	799	5121
135	825	5247
136	839	5288
137	862	5384
138	864	5357
139	868	5336
140	872	5313
141	877	5302
142	880	5279
143	896	5328
144	899	5302
145	902	5278
146	915	5311
147	918	5289
148	921	5263
149	923	5235
150	929	5224
151	946	5283
152	949	5258
153	953	5236
154	958	5226
155	981	5312
156	984	5288
157	1023	5454
158	1055	5584
159	1059	5559
160	1062	5537
161	1090	5641
162	1093	5612
163	1096	5590
164	1110	5619
165	1122	5638
166	1126	5621
167	1129	5594
168	1132	5567
169	1165	5692
170	1171	5677
171	1195	5755
172	1213	5802
173	1223	5809
174	1227	5785
175	1230	5761
176	1233	5735
177	1237	5716
178	1241	5693
179	1264	5761
180	1273	5764
181	1276	5737
182	1279	5711
