iter	Logloss
0	0.6140800518
1	0.5487644991
2	0.4964520425
3	0.4484576889
4	0.4086247665
5	0.3719222053
6	0.3419180059
7	0.3146530016
8	0.2910160964
9	0.2732696512
10	0.2549144561
11	0.2380771799
12	0.2237984202
13	0.2100641639
14	0.1973930619
15	0.1863488997
16	0.1776237039
17	0.1686919834
18	0.1605307604
19	0.1531035276
20	0.1467993237
21	0.1415100949
22	0.1361204594
23	0.1305997702
24	0.1260823126
25	0.1220289551
26	0.1182307812
27	0.1149584268
28	0.1119158371
29	0.1091950288
30	0.1060954453
31	0.1033933583
32	0.1011212265
33	0.09897112323
34	0.09701730302
35	0.09498000827
36	0.0936368632
37	0.0920591983
38	0.09068800741
39	0.08948544205
40	0.08823182831
41	0.08702654183
42	0.08562850781
43	0.08411468354
44	0.08299765815
45	0.08199216257
46	0.08087783717
47	0.07963069431
48	0.07837206348
49	0.07740472246
50	0.07669774664
51	0.07581245662
52	0.07511440099
53	0.07409154366
54	0.07356812163
55	0.072442323
56	0.0714406137
57	0.07063780947
58	0.0700885085
59	0.0694006378
60	0.06897019956
61	0.0677127594
62	0.06665186389
63	0.0658519858
64	0.06541145323
65	0.06494083755
66	0.06445233088
67	0.063906015
68	0.06333726343
69	0.06273791326
70	0.06222013145
71	0.06161493412
72	0.06104202267
73	0.06058842091
74	0.06004526942
75	0.05905509502
76	0.05822779764
77	0.0575068177
78	0.05713129654
79	0.05649418395
80	0.05570559603
81	0.05530145379
82	0.05491201377
83	0.05443597209
84	0.05361809273
85	0.05326391946
86	0.05287065814
87	0.05213872838
88	0.05151206885
89	0.05082635038
90	0.0505062839
91	0.05015698038
92	0.04982447408
93	0.04950917554
94	0.04889913018
95	0.04848357007
96	0.04806722658
97	0.04747706742
98	0.04718891948
99	0.04664948373
100	0.04615230542
101	0.0458271306
102	0.04551615985
103	0.04505903592
104	0.04476269077
105	0.04434369268
106	0.04393230959
107	0.04365357968
108	0.04344303173
109	0.04312155659
110	0.04285658635
111	0.04269382629
112	0.04250946748
113	0.0423341067
114	0.04208564474
115	0.04194518478
116	0.04170855439
117	0.04130644648
118	0.04093310039
119	0.04071064123
120	0.04057874134
121	0.04036519616
122	0.04024053428
123	0.04012083282
124	0.03991774979
125	0.03980442728
126	0.03960967406
127	0.03950235465
128	0.03931555999
129	0.03921286934
130	0.03900894031
131	0.0388147442
132	0.03862941853
133	0.03845204833
134	0.03828269907
135	0.0381205403
136	0.03796573076
137	0.03781682907
138	0.03767407044
139	0.0373570079
140	0.03721886833
141	0.03708640436
142	0.0368018312
143	0.03667510424
144	0.03655338249
145	0.03626360801
146	0.03602467886
147	0.03590716414
148	0.03552278797
149	0.03521210221
